area,item,year,hg/ha_yield,average_rainfall,presticides_tonnes,avg_temp
Cameroon,Wheat,1991,12863,1604,99.09,24.99
Cameroon,Yams,1991,50000,1604,99.09,24.99
Cameroon,Cassava,1992,136333,1604,1137.56,24.6
Cameroon,Maize,1992,13974,1604,1137.56,24.6
Cameroon,Plantains and others,1992,54632,1604,1137.56,24.6
Cameroon,Potatoes,1992,20500,1604,1137.56,24.6
Cameroon,"Rice, paddy",1992,35000,1604,1137.56,24.6
Cameroon,Sorghum,1992,7600,1604,1137.56,24.6
Cameroon,Soybeans,1992,6061,1604,1137.56,24.6
Cameroon,Sweet potatoes,1992,62643,1604,1137.56,24.6
Cameroon,Wheat,1992,12884,1604,1137.56,24.6
Cameroon,Yams,1992,55238,1604,1137.56,24.6
Cameroon,Cassava,1993,131840,1604,774.49,24.9
Cameroon,Maize,1993,11267,1604,774.49,24.9
Cameroon,Plantains and others,1993,56000,1604,774.49,24.9
Cameroon,Potatoes,1993,21111,1604,774.49,24.9
Cameroon,"Rice, paddy",1993,29000,1604,774.49,24.9
Cameroon,Sorghum,1993,7647,1604,774.49,24.9
Cameroon,Soybeans,1993,6000,1604,774.49,24.9
Cameroon,Sweet potatoes,1993,62183,1604,774.49,24.9
Cameroon,Wheat,1993,12904,1604,774.49,24.9
Cameroon,Yams,1993,60000,1604,774.49,24.9
Cameroon,Cassava,1994,127037,1604,411.42,24.93
Cameroon,Maize,1994,11644,1604,411.42,24.93
Cameroon,Plantains and others,1994,55053,1604,411.42,24.93
Cameroon,Potatoes,1994,19811,1604,411.42,24.93
Cameroon,"Rice, paddy",1994,31423,1604,411.42,24.93
Cameroon,Sorghum,1994,7292,1604,411.42,24.93
Cameroon,Soybeans,1994,6026,1604,411.42,24.93
Cameroon,Sweet potatoes,1994,61724,1604,411.42,24.93
Cameroon,Wheat,1994,12937,1604,411.42,24.93
Cameroon,Yams,1994,70588,1604,411.42,24.93
Cameroon,Cassava,1995,118667,1604,48.35,25.21
Cameroon,Maize,1995,15450,1604,48.35,25.21
Cameroon,Plantains and others,1995,54365,1604,48.35,25.21
Cameroon,Potatoes,1995,20588,1604,48.35,25.21
Cameroon,"Rice, paddy",1995,31307,1604,48.35,25.21
Cameroon,Sorghum,1995,8679,1604,48.35,25.21
Cameroon,Soybeans,1995,6203,1604,48.35,25.21
Cameroon,Sweet potatoes,1995,61264,1604,48.35,25.21
Cameroon,Wheat,1995,13098,1604,48.35,25.21
Cameroon,Yams,1995,71625,1604,48.35,25.21
Cameroon,Cassava,1996,115500,1604,180.08,25
Cameroon,Maize,1996,18750,1604,180.08,25
Cameroon,Plantains and others,1996,55603,1604,180.08,25
Cameroon,Potatoes,1996,29064,1604,180.08,25
Cameroon,"Rice, paddy",1996,31391,1604,180.08,25
Cameroon,Sorghum,1996,8910,1604,180.08,25
Cameroon,Soybeans,1996,6220,1604,180.08,25
Cameroon,Sweet potatoes,1996,60681,1604,180.08,25
Cameroon,Wheat,1996,13333,1604,180.08,25
Cameroon,Yams,1996,75000,1604,180.08,25
Cameroon,Cassava,1997,106556,1604,630.12,24.98
Cameroon,Maize,1997,20267,1604,630.12,24.98
Cameroon,Plantains and others,1997,56426,1604,630.12,24.98
Cameroon,Potatoes,1997,40329,1604,630.12,24.98
Cameroon,"Rice, paddy",1997,33636,1604,630.12,24.98
Cameroon,Sorghum,1997,8889,1604,630.12,24.98
Cameroon,Soybeans,1997,6235,1604,630.12,24.98
Cameroon,Sweet potatoes,1997,65306,1604,630.12,24.98
Cameroon,Wheat,1997,13264,1604,630.12,24.98
Cameroon,Yams,1997,78947,1604,630.12,24.98
Cameroon,Cassava,1998,90041,1604,258.02,25.66
Cameroon,Maize,1998,18911,1604,258.02,25.66
Cameroon,Plantains and others,1998,67958,1604,258.02,25.66
Cameroon,Potatoes,1998,53198,1604,258.02,25.66
Cameroon,"Rice, paddy",1998,35467,1604,258.02,25.66
Cameroon,Sorghum,1998,9955,1604,258.02,25.66
Cameroon,Soybeans,1998,6250,1604,258.02,25.66
Cameroon,Sweet potatoes,1998,74780,1604,258.02,25.66
Cameroon,Wheat,1998,13279,1604,258.02,25.66
Cameroon,Yams,1998,79360,1604,258.02,25.66
Cameroon,Cassava,1999,136594,1604,653,24.97
Cameroon,Maize,1999,25907,1604,653,24.97
Cameroon,Plantains and others,1999,61102,1604,653,24.97
Cameroon,Potatoes,1999,60031,1604,653,24.97
Cameroon,"Rice, paddy",1999,33095,1604,653,24.97
Cameroon,Sorghum,1999,11239,1604,653,24.97
Cameroon,Soybeans,1999,6373,1604,653,24.97
Cameroon,Sweet potatoes,1999,65895,1604,653,24.97
Cameroon,Wheat,1999,13294,1604,653,24.97
Cameroon,Yams,1999,93209,1604,653,24.97
Cameroon,Cassava,2000,132992,1604,545,24.88
Cameroon,Maize,2000,24615,1604,545,24.88
Cameroon,Plantains and others,2000,61323,1604,545,24.88
Cameroon,Potatoes,2000,59044,1604,545,24.88
Cameroon,"Rice, paddy",2000,30103,1604,545,24.88
Cameroon,Sorghum,2000,12000,1604,545,24.88
Cameroon,Soybeans,2000,6375,1604,545,24.88
Cameroon,Sweet potatoes,2000,64578,1604,545,24.88
Cameroon,Wheat,2000,13309,1604,545,24.88
Cameroon,Yams,2000,93662,1604,545,24.88
Cameroon,Cassava,2001,81918,1604,687,25.01
Cameroon,Maize,2001,24404,1604,687,25.01
Cameroon,Plantains and others,2001,62064,1604,687,25.01
Cameroon,Potatoes,2001,51674,1604,687,25.01
Cameroon,"Rice, paddy",2001,30242,1604,687,25.01
Cameroon,Sorghum,2001,12024,1604,687,25.01
Cameroon,Soybeans,2001,6193,1604,687,25.01
Cameroon,Sweet potatoes,2001,64856,1604,687,25.01
Cameroon,Wheat,2001,13325,1604,687,25.01
Cameroon,Yams,2001,94345,1604,687,25.01
Cameroon,Cassava,2002,76626,1604,815.79,25.26
Cameroon,Maize,2002,20679,1604,815.79,25.26
Cameroon,Plantains and others,2002,53209,1604,815.79,25.26
Cameroon,Potatoes,2002,39452,1604,815.79,25.26
Cameroon,"Rice, paddy",2002,11137,1604,815.79,25.26
Cameroon,Sorghum,2002,14129,1604,815.79,25.26
Cameroon,Soybeans,2002,5611,1604,815.79,25.26
Cameroon,Sweet potatoes,2002,45554,1604,815.79,25.26
Cameroon,Wheat,2002,13340,1604,815.79,25.26
Cameroon,Yams,2002,76643,1604,815.79,25.26
Cameroon,Cassava,2004,66145,1604,849.48,25.42
Cameroon,Maize,2004,19166,1604,849.48,25.42
Cameroon,Plantains and others,2004,53312,1604,849.48,25.42
Cameroon,Potatoes,2004,31159,1604,849.48,25.42
Cameroon,"Rice, paddy",2004,12416,1604,849.48,25.42
Cameroon,Sorghum,2004,12654,1604,849.48,25.42
Cameroon,Soybeans,2004,5866,1604,849.48,25.42
Cameroon,Sweet potatoes,2004,41558,1604,849.48,25.42
Cameroon,Wheat,2004,13373,1604,849.48,25.42
Cameroon,Yams,2004,76752,1604,849.48,25.42
Cameroon,Cassava,2005,105771,1604,829.59,25.36
Cameroon,Maize,2005,21334,1604,829.59,25.36
Cameroon,Plantains and others,2005,79720,1604,829.59,25.36
Cameroon,Potatoes,2005,25900,1604,829.59,25.36
Cameroon,"Rice, paddy",2005,12971,1604,829.59,25.36
Cameroon,Sorghum,2005,13173,1604,829.59,25.36
Cameroon,Soybeans,2005,6131,1604,829.59,25.36
Cameroon,Sweet potatoes,2005,67586,1604,829.59,25.36
Cameroon,Wheat,2005,13390,1604,829.59,25.36
Cameroon,Yams,2005,97814,1604,829.59,25.36
Cameroon,Cassava,2006,107548,1604,950.22,25.39
Cameroon,Maize,2006,22224,1604,950.22,25.39
Cameroon,Plantains and others,2006,79860,1604,950.22,25.39
Cameroon,Potatoes,2006,27330,1604,950.22,25.39
Cameroon,"Rice, paddy",2006,12905,1604,950.22,25.39
Cameroon,Sorghum,2006,12561,1604,950.22,25.39
Cameroon,Soybeans,2006,6226,1604,950.22,25.39
Cameroon,Sweet potatoes,2006,66603,1604,950.22,25.39
Cameroon,Wheat,2006,13408,1604,950.22,25.39
Cameroon,Yams,2006,100747,1604,950.22,25.39
Cameroon,Cassava,2007,140000,1604,918.88,25.49
Cameroon,Maize,2007,20000,1604,918.88,25.49
Cameroon,Plantains and others,2007,120619,1604,918.88,25.49
Cameroon,Potatoes,2007,26587,1604,918.88,25.49
Cameroon,"Rice, paddy",2007,10000,1604,918.88,25.49
Cameroon,Sorghum,2007,14397,1604,918.88,25.49
Cameroon,Soybeans,2007,12002,1604,918.88,25.49
Cameroon,Sweet potatoes,2007,55032,1604,918.88,25.49
Cameroon,Wheat,2007,13426,1604,918.88,25.49
Cameroon,Yams,2007,121002,1604,918.88,25.49
Cameroon,Cassava,2008,140000,1604,882.13,25.42
Cameroon,Maize,2008,20000,1604,882.13,25.42
Cameroon,Plantains and others,2008,120000,1604,882.13,25.42
Cameroon,Potatoes,2008,26367,1604,882.13,25.42
Cameroon,"Rice, paddy",2008,10000,1604,882.13,25.42
Cameroon,Sorghum,2008,14323,1604,882.13,25.42
Cameroon,Soybeans,2008,11999,1604,882.13,25.42
Cameroon,Sweet potatoes,2008,59989,1604,882.13,25.42
Cameroon,Wheat,2008,13444,1604,882.13,25.42
Cameroon,Yams,2008,121000,1604,882.13,25.42
Cameroon,Cassava,2009,139528,1604,813.77,25.54
Cameroon,Maize,2009,19787,1604,813.77,25.54
Cameroon,Plantains and others,2009,119671,1604,813.77,25.54
Cameroon,Potatoes,2009,28754,1604,813.77,25.54
Cameroon,"Rice, paddy",2009,27475,1604,813.77,25.54
Cameroon,Sorghum,2009,14085,1604,813.77,25.54
Cameroon,Soybeans,2009,8310,1604,813.77,25.54
Cameroon,Sweet potatoes,2009,54288,1604,813.77,25.54
Cameroon,Wheat,2009,13463,1604,813.77,25.54
Cameroon,Yams,2009,121205,1604,813.77,25.54
Cameroon,Cassava,2010,140636,1604,1160.63,25.7
Cameroon,Maize,2010,19741,1604,1160.63,25.7
Cameroon,Plantains and others,2010,122250,1604,1160.63,25.7
Cameroon,Potatoes,2010,44088,1604,1160.63,25.7
Cameroon,"Rice, paddy",2010,10936,1604,1160.63,25.7
Cameroon,Sorghum,2010,14257,1604,1160.63,25.7
Cameroon,Soybeans,2010,8437,1604,1160.63,25.7
Cameroon,Sweet potatoes,2010,54179,1604,1160.63,25.7
Cameroon,Wheat,2010,13846,1604,1160.63,25.7
Cameroon,Yams,2010,111590,1604,1160.63,25.7
Cameroon,Cassava,2011,145720,1604,1372.47,25.25
Cameroon,Maize,2011,20240,1604,1372.47,25.25
Cameroon,Plantains and others,2011,110857,1604,1372.47,25.25
Cameroon,Potatoes,2011,73940,1604,1372.47,25.25
Cameroon,"Rice, paddy",2011,13464,1604,1372.47,25.25
Cameroon,Sorghum,2011,15038,1604,1372.47,25.25
Cameroon,Soybeans,2011,8276,1604,1372.47,25.25
Cameroon,Sweet potatoes,2011,49900,1604,1372.47,25.25
Cameroon,Wheat,2011,13971,1604,1372.47,25.25
Cameroon,Yams,2011,101354,1604,1372.47,25.25
Cameroon,Cassava,2012,115388,1604,1372.47,25.18
Cameroon,Maize,2012,17152,1604,1372.47,25.18
Cameroon,Plantains and others,2012,108526,1604,1372.47,25.18
Cameroon,Potatoes,2012,103444,1604,1372.47,25.18
Cameroon,"Rice, paddy",2012,14217,1604,1372.47,25.18
Cameroon,Sorghum,2012,14883,1604,1372.47,25.18
Cameroon,Soybeans,2012,13980,1604,1372.47,25.18
Cameroon,Sweet potatoes,2012,60000,1604,1372.47,25.18
Cameroon,Wheat,2012,12308,1604,1372.47,25.18
Cameroon,Yams,2012,112643,1604,1372.47,25.18
Cameroon,Cassava,2013,147894,1604,1372.47,25.45
Cameroon,Maize,2013,19787,1604,1372.47,25.45
Cameroon,Plantains and others,2013,119444,1604,1372.47,25.45
Cameroon,Potatoes,2013,133560,1604,1372.47,25.45
Cameroon,"Rice, paddy",2013,11641,1604,1372.47,25.45
Cameroon,Sorghum,2013,15074,1604,1372.47,25.45
Cameroon,Soybeans,2013,13228,1604,1372.47,25.45
Cameroon,Sweet potatoes,2013,54288,1604,1372.47,25.45
Cameroon,Wheat,2013,12879,1604,1372.47,25.45
Cameroon,Yams,2013,103844,1604,1372.47,25.45
Canada,Maize,1990,68602,537,29568,8.2
Canada,Maize,1990,68602,537,29568,9.48
Canada,Maize,1990,68602,537,29568,6.07
Canada,Maize,1990,68602,537,29568,5.57
Canada,Maize,1990,68602,537,29568,7.41
Canada,Maize,1990,68602,537,29568,7.82
Canada,Potatoes,1990,250994,537,29568,8.2
Canada,Potatoes,1990,250994,537,29568,9.48
Canada,Potatoes,1990,250994,537,29568,6.07
Canada,Potatoes,1990,250994,537,29568,5.57
Canada,Potatoes,1990,250994,537,29568,7.41
Canada,Potatoes,1990,250994,537,29568,7.82
Canada,Soybeans,1990,26096,537,29568,8.2
Canada,Soybeans,1990,26096,537,29568,9.48
Canada,Soybeans,1990,26096,537,29568,6.07
Canada,Soybeans,1990,26096,537,29568,5.57
Canada,Soybeans,1990,26096,537,29568,7.41
Canada,Soybeans,1990,26096,537,29568,7.82
Canada,Wheat,1990,22769,537,29568,8.2
Canada,Wheat,1990,22769,537,29568,9.48
Canada,Wheat,1990,22769,537,29568,6.07
Canada,Wheat,1990,22769,537,29568,5.57
Canada,Wheat,1990,22769,537,29568,7.41
Canada,Wheat,1990,22769,537,29568,7.82
Canada,Maize,1991,67098,537,29477.5,8.13
Canada,Maize,1991,67098,537,29477.5,9.72
Canada,Maize,1991,67098,537,29477.5,5.82
Canada,Maize,1991,67098,537,29477.5,5.46
Canada,Maize,1991,67098,537,29477.5,7.55
Canada,Maize,1991,67098,537,29477.5,7.89
Canada,Potatoes,1991,96637,537,29477.5,8.13
Canada,Potatoes,1991,96637,537,29477.5,9.72
Canada,Potatoes,1991,96637,537,29477.5,5.82
Canada,Potatoes,1991,96637,537,29477.5,5.46
Canada,Potatoes,1991,96637,537,29477.5,7.55
Canada,Potatoes,1991,96637,537,29477.5,7.89
Canada,Soybeans,1991,24415,537,29477.5,8.13
Canada,Soybeans,1991,24415,537,29477.5,9.72
Canada,Soybeans,1991,24415,537,29477.5,5.82
Canada,Soybeans,1991,24415,537,29477.5,5.46
Canada,Soybeans,1991,24415,537,29477.5,7.55
Canada,Soybeans,1991,24415,537,29477.5,7.89
Canada,Wheat,1991,22559,537,29477.5,8.13
Canada,Wheat,1991,22559,537,29477.5,9.72
Canada,Wheat,1991,22559,537,29477.5,5.82
Canada,Wheat,1991,22559,537,29477.5,5.46
Canada,Wheat,1991,22559,537,29477.5,7.55
Canada,Wheat,1991,22559,537,29477.5,7.89
Canada,Maize,1992,56927,537,29387,6.25
Canada,Maize,1992,56927,537,29387,8.05
Canada,Maize,1992,56927,537,29387,4.41
Canada,Maize,1992,56927,537,29387,3.69
Canada,Maize,1992,56927,537,29387,5.79
Canada,Maize,1992,56927,537,29387,8.77
Canada,Potatoes,1992,118173,537,29387,6.25
Canada,Potatoes,1992,118173,537,29387,8.05
Canada,Potatoes,1992,118173,537,29387,4.41
Canada,Potatoes,1992,118173,537,29387,3.69
Canada,Potatoes,1992,118173,537,29387,5.79
Canada,Potatoes,1992,118173,537,29387,8.77
Canada,Soybeans,1992,23363,537,29387,6.25
Canada,Soybeans,1992,23363,537,29387,8.05
Canada,Soybeans,1992,23363,537,29387,4.41
Canada,Soybeans,1992,23363,537,29387,3.69
Canada,Soybeans,1992,23363,537,29387,5.79
Canada,Soybeans,1992,23363,537,29387,8.77
Canada,Wheat,1992,21603,537,29387,6.25
Canada,Wheat,1992,21603,537,29387,8.05
Canada,Wheat,1992,21603,537,29387,4.41
Canada,Wheat,1992,21603,537,29387,3.69
Canada,Wheat,1992,21603,537,29387,5.79
Canada,Wheat,1992,21603,537,29387,8.77
Canada,Maize,1993,64241,537,29296.5,6.48
Canada,Maize,1993,64241,537,29296.5,8.11
Canada,Maize,1993,64241,537,29296.5,4.52
Canada,Maize,1993,64241,537,29296.5,3.96
Canada,Maize,1993,64241,537,29296.5,5.87
Canada,Maize,1993,64241,537,29296.5,7.69
Canada,Potatoes,1993,107674,537,29296.5,6.48
Canada,Potatoes,1993,107674,537,29296.5,8.11
Canada,Potatoes,1993,107674,537,29296.5,4.52
Canada,Potatoes,1993,107674,537,29296.5,3.96
Canada,Potatoes,1993,107674,537,29296.5,5.87
Canada,Potatoes,1993,107674,537,29296.5,7.69
Canada,Soybeans,1993,26005,537,29296.5,6.48
Canada,Soybeans,1993,26005,537,29296.5,8.11
Canada,Soybeans,1993,26005,537,29296.5,4.52
Canada,Soybeans,1993,26005,537,29296.5,3.96
Canada,Soybeans,1993,26005,537,29296.5,5.87
Canada,Soybeans,1993,26005,537,29296.5,7.69
Canada,Wheat,1993,22027,537,29296.5,6.48
Canada,Wheat,1993,22027,537,29296.5,8.11
Canada,Wheat,1993,22027,537,29296.5,4.52
Canada,Wheat,1993,22027,537,29296.5,3.96
Canada,Wheat,1993,22027,537,29296.5,5.87
Canada,Wheat,1993,22027,537,29296.5,7.69
Canada,Maize,1994,73748,537,29206,6.52
Canada,Maize,1994,73748,537,29206,8.11
Canada,Maize,1994,73748,537,29206,4.72
Canada,Maize,1994,73748,537,29206,4.06
Canada,Maize,1994,73748,537,29206,5.95
Canada,Maize,1994,73748,537,29206,8.27
Canada,Potatoes,1994,112448,537,29206,6.52
Canada,Potatoes,1994,112448,537,29206,8.11
Canada,Potatoes,1994,112448,537,29206,4.72
Canada,Potatoes,1994,112448,537,29206,4.06
Canada,Potatoes,1994,112448,537,29206,5.95
Canada,Potatoes,1994,112448,537,29206,8.27
Canada,Soybeans,1994,27447,537,29206,6.52
Canada,Soybeans,1994,27447,537,29206,8.11
Canada,Soybeans,1994,27447,537,29206,4.72
Canada,Soybeans,1994,27447,537,29206,4.06
Canada,Soybeans,1994,27447,537,29206,5.95
Canada,Soybeans,1994,27447,537,29206,8.27
Canada,Wheat,1994,21275,537,29206,6.52
Canada,Wheat,1994,21275,537,29206,8.11
Canada,Wheat,1994,21275,537,29206,4.72
Canada,Wheat,1994,21275,537,29206,4.06
Canada,Wheat,1994,21275,537,29206,5.95
Canada,Wheat,1994,21275,537,29206,8.27
Canada,Maize,1995,72528,537,32223.4,7.19
Canada,Maize,1995,72528,537,32223.4,8.52
Canada,Maize,1995,72528,537,32223.4,5.47
Canada,Maize,1995,72528,537,32223.4,4.81
Canada,Maize,1995,72528,537,32223.4,6.38
Canada,Maize,1995,72528,537,32223.4,8.49
Canada,Potatoes,1995,107859,537,32223.4,7.19
Canada,Potatoes,1995,107859,537,32223.4,8.52
Canada,Potatoes,1995,107859,537,32223.4,5.47
Canada,Potatoes,1995,107859,537,32223.4,4.81
Canada,Potatoes,1995,107859,537,32223.4,6.38
Canada,Potatoes,1995,107859,537,32223.4,8.49
Canada,Soybeans,1995,27882,537,32223.4,7.19
Canada,Soybeans,1995,27882,537,32223.4,8.52
Canada,Soybeans,1995,27882,537,32223.4,5.47
Canada,Soybeans,1995,27882,537,32223.4,4.81
Canada,Soybeans,1995,27882,537,32223.4,6.38
Canada,Soybeans,1995,27882,537,32223.4,8.49
Canada,Wheat,1995,22467,537,32223.4,7.19
Canada,Wheat,1995,22467,537,32223.4,8.52
Canada,Wheat,1995,22467,537,32223.4,5.47
Canada,Wheat,1995,22467,537,32223.4,4.81
Canada,Wheat,1995,22467,537,32223.4,6.38
Canada,Wheat,1995,22467,537,32223.4,8.49
Canada,Maize,1996,69141,537,35240.8,6.88
Canada,Maize,1996,69141,537,35240.8,7.85
Canada,Maize,1996,69141,537,35240.8,5.25
Canada,Maize,1996,69141,537,35240.8,4.66
Canada,Maize,1996,69141,537,35240.8,5.81
Canada,Maize,1996,69141,537,35240.8,7.16
Canada,Potatoes,1996,112323,537,35240.8,6.88
Canada,Potatoes,1996,112323,537,35240.8,7.85
Canada,Potatoes,1996,112323,537,35240.8,5.25
Canada,Potatoes,1996,112323,537,35240.8,4.66
Canada,Potatoes,1996,112323,537,35240.8,5.81
Canada,Potatoes,1996,112323,537,35240.8,7.16
Canada,Soybeans,1996,25168,537,35240.8,6.88
Canada,Soybeans,1996,25168,537,35240.8,7.85
Canada,Soybeans,1996,25168,537,35240.8,5.25
Canada,Soybeans,1996,25168,537,35240.8,4.66
Canada,Soybeans,1996,25168,537,35240.8,5.81
Canada,Soybeans,1996,25168,537,35240.8,7.16
Canada,Wheat,1996,24304,537,35240.8,6.88
Canada,Wheat,1996,24304,537,35240.8,7.85
Canada,Wheat,1996,24304,537,35240.8,5.25
Canada,Wheat,1996,24304,537,35240.8,4.66
Canada,Wheat,1996,24304,537,35240.8,5.81
Canada,Wheat,1996,24304,537,35240.8,7.16
Canada,Maize,1997,68702,537,38258.2,6.72
Canada,Maize,1997,68702,537,38258.2,8.09
Canada,Maize,1997,68702,537,38258.2,4.54
Canada,Maize,1997,68702,537,38258.2,3.99
Canada,Maize,1997,68702,537,38258.2,6
Canada,Maize,1997,68702,537,38258.2,8.23
Canada,Potatoes,1997,111195,537,38258.2,6.72
Canada,Potatoes,1997,111195,537,38258.2,8.09
Canada,Potatoes,1997,111195,537,38258.2,4.54
Canada,Potatoes,1997,111195,537,38258.2,3.99
Canada,Potatoes,1997,111195,537,38258.2,6
Canada,Potatoes,1997,111195,537,38258.2,8.23
Canada,Soybeans,1997,25837,537,38258.2,6.72
Canada,Soybeans,1997,25837,537,38258.2,8.09
Canada,Soybeans,1997,25837,537,38258.2,4.54
Canada,Soybeans,1997,25837,537,38258.2,3.99
Canada,Soybeans,1997,25837,537,38258.2,6
Canada,Soybeans,1997,25837,537,38258.2,8.23
Canada,Wheat,1997,21285,537,38258.2,6.72
Canada,Wheat,1997,21285,537,38258.2,8.09
Canada,Wheat,1997,21285,537,38258.2,4.54
Canada,Wheat,1997,21285,537,38258.2,3.99
Canada,Wheat,1997,21285,537,38258.2,6
Canada,Wheat,1997,21285,537,38258.2,8.23
Canada,Maize,1998,80054,537,41275.6,9.01
Canada,Maize,1998,80054,537,41275.6,10.6
Canada,Maize,1998,80054,537,41275.6,7
Canada,Maize,1998,80054,537,41275.6,6.68
Canada,Maize,1998,80054,537,41275.6,8.54
Canada,Maize,1998,80054,537,41275.6,8.72
Canada,Potatoes,1998,112271,537,41275.6,9.01
Canada,Potatoes,1998,112271,537,41275.6,10.6
Canada,Potatoes,1998,112271,537,41275.6,7
Canada,Potatoes,1998,112271,537,41275.6,6.68
Canada,Potatoes,1998,112271,537,41275.6,8.54
Canada,Potatoes,1998,112271,537,41275.6,8.72
Canada,Soybeans,1998,27922,537,41275.6,9.01
Canada,Soybeans,1998,27922,537,41275.6,10.6
Canada,Soybeans,1998,27922,537,41275.6,7
Canada,Soybeans,1998,27922,537,41275.6,6.68
Canada,Soybeans,1998,27922,537,41275.6,8.54
Canada,Soybeans,1998,27922,537,41275.6,8.72
Canada,Wheat,1998,22550,537,41275.6,9.01
Canada,Wheat,1998,22550,537,41275.6,10.6
Canada,Wheat,1998,22550,537,41275.6,7
Canada,Wheat,1998,22550,537,41275.6,6.68
Canada,Wheat,1998,22550,537,41275.6,8.54
Canada,Wheat,1998,22550,537,41275.6,8.72
Canada,Maize,1999,79747,537,44293,8.29
Canada,Maize,1999,79747,537,44293,9.53
Canada,Maize,1999,79747,537,44293,6.71
Canada,Maize,1999,79747,537,44293,6.02
Canada,Maize,1999,79747,537,44293,7.75
Canada,Maize,1999,79747,537,44293,7.69
Canada,Potatoes,1999,110517,537,44293,8.29
Canada,Potatoes,1999,110517,537,44293,9.53
Canada,Potatoes,1999,110517,537,44293,6.71
Canada,Potatoes,1999,110517,537,44293,6.02
Canada,Potatoes,1999,110517,537,44293,7.75
Canada,Potatoes,1999,110517,537,44293,7.69
Canada,Soybeans,1999,27698,537,44293,8.29
Canada,Soybeans,1999,27698,537,44293,9.53
Canada,Soybeans,1999,27698,537,44293,6.71
Canada,Soybeans,1999,27698,537,44293,6.02
Canada,Soybeans,1999,27698,537,44293,7.75
Canada,Soybeans,1999,27698,537,44293,7.69
Canada,Wheat,1999,25971,537,44293,8.29
Canada,Wheat,1999,25971,537,44293,9.53
Canada,Wheat,1999,25971,537,44293,6.71
Canada,Wheat,1999,25971,537,44293,6.02
Canada,Wheat,1999,25971,537,44293,7.75
Canada,Wheat,1999,25971,537,44293,7.69
Canada,Maize,2000,62844,537,39667,6.93
Canada,Maize,2000,62844,537,39667,8.67
Canada,Maize,2000,62844,537,39667,5.14
Canada,Maize,2000,62844,537,39667,4.61
Canada,Maize,2000,62844,537,39667,6.67
Canada,Maize,2000,62844,537,39667,7.63
Canada,Potatoes,2000,116314,537,39667,6.93
Canada,Potatoes,2000,116314,537,39667,8.67
Canada,Potatoes,2000,116314,537,39667,5.14
Canada,Potatoes,2000,116314,537,39667,4.61
Canada,Potatoes,2000,116314,537,39667,6.67
Canada,Potatoes,2000,116314,537,39667,7.63
Canada,Soybeans,2000,25483,537,39667,6.93
Canada,Soybeans,2000,25483,537,39667,8.67
Canada,Soybeans,2000,25483,537,39667,5.14
Canada,Soybeans,2000,25483,537,39667,4.61
Canada,Soybeans,2000,25483,537,39667,6.67
Canada,Soybeans,2000,25483,537,39667,7.63
Canada,Wheat,2000,24446,537,39667,6.93
Canada,Wheat,2000,24446,537,39667,8.67
Canada,Wheat,2000,24446,537,39667,5.14
Canada,Wheat,2000,24446,537,39667,4.61
Canada,Wheat,2000,24446,537,39667,6.67
Canada,Wheat,2000,24446,537,39667,7.63
Canada,Maize,2001,66187,537,38456,8.47
Canada,Maize,2001,66187,537,38456,9.63
Canada,Maize,2001,66187,537,38456,6.46
Canada,Maize,2001,66187,537,38456,6.01
Canada,Maize,2001,66187,537,38456,7.76
Canada,Maize,2001,66187,537,38456,7.77
Canada,Potatoes,2001,102703,537,38456,8.47
Canada,Potatoes,2001,102703,537,38456,9.63
Canada,Potatoes,2001,102703,537,38456,6.46
Canada,Potatoes,2001,102703,537,38456,6.01
Canada,Potatoes,2001,102703,537,38456,7.76
Canada,Potatoes,2001,102703,537,38456,7.77
Canada,Soybeans,2001,15298,537,38456,8.47
Canada,Soybeans,2001,15298,537,38456,9.63
Canada,Soybeans,2001,15298,537,38456,6.46
Canada,Soybeans,2001,15298,537,38456,6.01
Canada,Soybeans,2001,15298,537,38456,7.76
Canada,Soybeans,2001,15298,537,38456,7.77
Canada,Wheat,2001,19452,537,38456,8.47
Canada,Wheat,2001,19452,537,38456,9.63
Canada,Wheat,2001,19452,537,38456,6.46
Canada,Wheat,2001,19452,537,38456,6.01
Canada,Wheat,2001,19452,537,38456,7.76
Canada,Wheat,2001,19452,537,38456,7.77
Canada,Maize,2002,70128,537,34226,8.18
Canada,Maize,2002,70128,537,34226,9.45
Canada,Maize,2002,70128,537,34226,6.01
Canada,Maize,2002,70128,537,34226,5.47
Canada,Maize,2002,70128,537,34226,7.48
Canada,Maize,2002,70128,537,34226,7.82
Canada,Potatoes,2002,111652,537,34226,8.18
Canada,Potatoes,2002,111652,537,34226,9.45
Canada,Potatoes,2002,111652,537,34226,6.01
Canada,Potatoes,2002,111652,537,34226,5.47
Canada,Potatoes,2002,111652,537,34226,7.48
Canada,Potatoes,2002,111652,537,34226,7.82
Canada,Soybeans,2002,22814,537,34226,8.18
Canada,Soybeans,2002,22814,537,34226,9.45
Canada,Soybeans,2002,22814,537,34226,6.01
Canada,Soybeans,2002,22814,537,34226,5.47
Canada,Soybeans,2002,22814,537,34226,7.48
Canada,Soybeans,2002,22814,537,34226,7.82
Canada,Wheat,2002,18324,537,34226,8.18
Canada,Wheat,2002,18324,537,34226,9.45
Canada,Wheat,2002,18324,537,34226,6.01
Canada,Wheat,2002,18324,537,34226,5.47
Canada,Wheat,2002,18324,537,34226,7.48
